"""banana"""
"""brocolis"""
"""abacate"""
"""maracuja"""
"""nabo"""
"""berinjela"""
"""uva"""
"""couve"""
"""abacaxi"""
"""pessego"""
"""mostarda"""
"""pimentao"""
"""laranja"""
"""melancia"""
"""kiwi"""
"""tangerina"""
"""ervilha"""
"""alho"""
"""beterraba"""
"""mamao"""
"""caju"""
"""framboesa"""
"""acelga"""
"""gengibre"""
"""tomate"""
"""manga"""
"""carambola"""
"""mirtilo"""
"""vagem"""
"""pepino"""
"""cenoura"""
"""lichia"""
"""quiabo"""
"""abobrinha"""
"""abobora"""
"""cebola"""
"""rucula"""
"""chuchu"""
"""limao"""
"""pitaia"""
"""goiaba"""
"""cereja"""
"""batata"""
"""alface"""
"""amora"""
"""graviola"""
"""figo"""
"""inhame"""
"""pera"""
"""morango"""
"""jabuticaba"""
"""espinafre"""
"""mandioca"""
"""maca"""
"""acerola"""
"""jaca"""
"""repolho"""
"""milho"""
